short_name,age,nationality_name,overall,potential,club_name,value_eur,wage_eur,player_positions,player_face_url
Bruno Fernandes,26,Portugal,88,89,Manchester United,107500000.0,250000.0,CAM,https://cdn.sofifa.net/players/212/198/22_120.png
R. Lukaku,28,Belgium,88,88,Chelsea,93500000.0,260000.0,ST,https://cdn.sofifa.net/players/192/505/22_120.png
T. Kroos,31,Germany,88,88,Real Madrid CF,75000000.0,310000.0,CM,https://cdn.sofifa.net/players/182/521/22_120.png
L. Suárez,34,Uruguay,88,88,Atlético de Madrid,44500000.0,135000.0,ST,https://cdn.sofifa.net/players/176/580/22_120.png
Sergio Ramos,35,Spain,88,88,Paris Saint-Germain,24000000.0,115000.0,CB,https://cdn.sofifa.net/players/155/862/22_120.png
K. Navas,34,Costa Rica,88,88,Paris Saint-Germain,15500000.0,130000.0,GK,https://cdn.sofifa.net/players/193/041/22_120.png
F. de Jong,24,Netherlands,87,92,FC Barcelona,119500000.0,210000.0,CM,https://cdn.sofifa.net/players/228/702/22_120.png
T. Alexander-Arnold,22,England,87,92,Liverpool,114000000.0,150000.0,RB,https://cdn.sofifa.net/players/231/281/22_120.png
J. Sancho,21,England,87,91,Manchester United,116500000.0,150000.0,RM,https://cdn.sofifa.net/players/233/049/22_120.png
Rúben Dias,24,Portugal,87,91,Manchester City,102500000.0,170000.0,CB,https://cdn.sofifa.net/players/239/818/22_120.png
Marquinhos,27,Brazil,87,90,Paris Saint-Germain,90500000.0,135000.0,CB,https://cdn.sofifa.net/players/207/865/22_120.png
L. Goretzka,26,Germany,87,88,FC Bayern München,93000000.0,140000.0,CM,https://cdn.sofifa.net/players/209/658/22_120.png
P. Dybala,27,Argentina,87,88,Juventus,93000000.0,160000.0,CF,https://cdn.sofifa.net/players/211/110/22_120.png
A. Robertson,27,Scotland,87,88,Liverpool,83500000.0,175000.0,LB,https://cdn.sofifa.net/players/216/267/22_120.png
P. Pogba,28,France,87,87,Manchester United,79500000.0,220000.0,CM,https://cdn.sofifa.net/players/195/864/22_120.png
M. Verratti,28,Italy,87,87,Paris Saint-Germain,79500000.0,155000.0,CM,https://cdn.sofifa.net/players/199/556/22_120.png
C. Immobile,31,Italy,87,87,Lazio,67500000.0,125000.0,ST,https://cdn.sofifa.net/players/192/387/22_120.png
T. Müller,31,Germany,87,87,FC Bayern München,66000000.0,140000.0,CAM,https://cdn.sofifa.net/players/189/596/22_120.png
S. Agüero,33,Argentina,87,87,FC Barcelona,51000000.0,260000.0,ST,https://cdn.sofifa.net/players/153/079/22_120.png
Á. Di María,33,Argentina,87,87,Paris Saint-Germain,49500000.0,160000.0,RW,https://cdn.sofifa.net/players/183/898/22_120.png
W. Szczęsny,31,Poland,87,87,Juventus,42000000.0,105000.0,GK,https://cdn.sofifa.net/players/186/153/22_120.png
L. Modrić,35,Croatia,87,87,Real Madrid CF,32000000.0,190000.0,CM,https://cdn.sofifa.net/players/177/003/22_120.png
H. Lloris,34,France,87,87,Tottenham Hotspur,13500000.0,125000.0,GK,https://cdn.sofifa.net/players/167/948/22_120.png
Marcos Llorente,26,Spain,86,89,Atlético de Madrid,88000000.0,95000.0,CM,https://cdn.sofifa.net/players/226/161/22_120.png
Rodri,25,Spain,86,89,Manchester City,81000000.0,175000.0,CDM,https://cdn.sofifa.net/players/231/866/22_120.png
A. Laporte,27,Spain,86,89,Manchester City,77000000.0,185000.0,CB,https://cdn.sofifa.net/players/212/218/22_120.png
M. Škriniar,26,Slovakia,86,88,Inter,74000000.0,150000.0,CB,https://cdn.sofifa.net/players/232/363/22_120.png
Fabinho,27,Brazil,86,88,Liverpool,73500000.0,165000.0,CDM,https://cdn.sofifa.net/players/209/499/22_120.png
R. Varane,28,France,86,88,Manchester United,68500000.0,180000.0,CB,https://cdn.sofifa.net/players/201/535/22_120.png
K. Coman,25,France,86,87,FC Bayern München,81000000.0,120000.0,LM,https://cdn.sofifa.net/players/213/345/22_120.png
Bernardo Silva,26,Portugal,86,87,Manchester City,80000000.0,200000.0,CAM,https://cdn.sofifa.net/players/218/667/22_120.png
João Cancelo,27,Portugal,86,87,Manchester City,71500000.0,185000.0,RB,https://cdn.sofifa.net/players/210/514/22_120.png
K. Casteels,29,Belgium,86,87,VfL Wolfsburg,52000000.0,88000.0,GK,https://cdn.sofifa.net/players/192/984/22_120.png
Gerard Moreno,29,Spain,86,86,Villarreal CF,68000000.0,73000.0,ST,https://cdn.sofifa.net/players/208/093/22_120.png
L. Insigne,30,Italy,86,86,Napoli,65500000.0,125000.0,LW,https://cdn.sofifa.net/players/198/219/22_120.png
R. Mahrez,30,Algeria,86,86,Manchester City,65500000.0,220000.0,RW,https://cdn.sofifa.net/players/204/485/22_120.png
Thiago,30,Spain,86,86,Liverpool,65000000.0,180000.0,CM,https://cdn.sofifa.net/players/189/509/22_120.png
K. Koulibaly,30,Senegal,86,86,Napoli,55500000.0,105000.0,CB,https://cdn.sofifa.net/players/201/024/22_120.png
Parejo,32,Spain,86,86,Villarreal CF,53500000.0,64000.0,CM,https://cdn.sofifa.net/players/189/513/22_120.png
Jordi Alba,32,Spain,86,86,FC Barcelona,47000000.0,200000.0,LB,https://cdn.sofifa.net/players/189/332/22_120.png
Sergio Busquets,32,Spain,86,86,FC Barcelona,45000000.0,200000.0,CDM,https://cdn.sofifa.net/players/189/511/22_120.png
M. Hummels,32,Germany,86,86,Borussia Dortmund,44000000.0,95000.0,CB,https://cdn.sofifa.net/players/178/603/22_120.png
J. Vardy,34,England,86,86,Leicester City,33000000.0,180000.0,ST,https://cdn.sofifa.net/players/208/830/22_120.png
G. Chiellini,36,Italy,86,86,Juventus,12000000.0,88000.0,CB,https://cdn.sofifa.net/players/138/956/22_120.png
S. Handanovič,36,Slovenia,86,86,Inter,7500000.0,78000.0,GK,https://cdn.sofifa.net/players/162/835/22_120.png
M. de Ligt,21,Netherlands,85,90,Juventus,75000000.0,81000.0,CB,https://cdn.sofifa.net/players/235/243/22_120.png
L. Martínez,23,Argentina,85,89,Inter,78000000.0,145000.0,ST,https://cdn.sofifa.net/players/231/478/22_120.png
Oyarzabal,24,Spain,85,89,Real Sociedad,77500000.0,57000.0,LW,https://cdn.sofifa.net/players/230/142/22_120.png
M. Rashford,23,England,85,89,Manchester United,77500000.0,150000.0,LM,https://cdn.sofifa.net/players/231/677/22_120.png
A. Hakimi,22,Morocco,85,88,Paris Saint-Germain,69500000.0,100000.0,RB,https://cdn.sofifa.net/players/235/212/22_120.png
W. Ndidi,24,Nigeria,85,88,Leicester City,66500000.0,120000.0,CDM,https://cdn.sofifa.net/players/226/790/22_120.png
S. Milinković-Savić,26,Serbia,85,87,Lazio,66000000.0,100000.0,CM,https://cdn.sofifa.net/players/223/848/22_120.png
S. Gnabry,25,Germany,85,86,FC Bayern München,64500000.0,110000.0,RM,https://cdn.sofifa.net/players/206/113/22_120.png
M. Depay,27,Netherlands,85,86,FC Barcelona,63000000.0,220000.0,CF,https://cdn.sofifa.net/players/202/556/22_120.png
Roberto Firmino,29,Brazil,85,85,Liverpool,54000000.0,185000.0,CF,https://cdn.sofifa.net/players/201/942/22_120.png
A. Griezmann,30,France,85,85,Atlético de Madrid,53000000.0,220000.0,ST,https://cdn.sofifa.net/players/194/765/22_120.png
Koke,29,Spain,85,85,Atlético de Madrid,52500000.0,90000.0,CM,https://cdn.sofifa.net/players/193/747/22_120.png
Jorginho,29,Italy,85,85,Chelsea,52500000.0,170000.0,CM,https://cdn.sofifa.net/players/205/498/22_120.png
E. Hazard,30,Belgium,85,85,Real Madrid CF,52000000.0,240000.0,LW,https://cdn.sofifa.net/players/183/277/22_120.png
İ. Gündoğan,30,Germany,85,85,Manchester City,51500000.0,185000.0,CM,https://cdn.sofifa.net/players/186/942/22_120.png
Carvajal,29,Spain,85,85,Real Madrid CF,47500000.0,210000.0,RB,https://cdn.sofifa.net/players/204/963/22_120.png
S. de Vrij,29,Netherlands,85,85,Inter,45000000.0,145000.0,CB,https://cdn.sofifa.net/players/198/176/22_120.png
P. Aubameyang,32,Gabon,85,85,Arsenal,43500000.0,145000.0,ST,https://cdn.sofifa.net/players/188/567/22_120.png
M. Reus,32,Germany,85,85,Borussia Dortmund,43000000.0,95000.0,CAM,https://cdn.sofifa.net/players/188/350/22_120.png
K. Walker,31,England,85,85,Manchester City,39000000.0,170000.0,RB,https://cdn.sofifa.net/players/188/377/22_120.png
A. Gómez,33,Argentina,85,85,Sevilla FC,33500000.0,51000.0,CAM,https://cdn.sofifa.net/players/143/076/22_120.png
P. Gulácsi,31,Hungary,85,85,RB Leipzig,28500000.0,87000.0,GK,https://cdn.sofifa.net/players/185/122/22_120.png
Y. Sommer,32,Switzerland,85,85,Borussia Mönchengladbach,26500000.0,40000.0,GK,https://cdn.sofifa.net/players/177/683/22_120.png
E. Cavani,34,Uruguay,85,85,Manchester United,26000000.0,190000.0,ST,https://cdn.sofifa.net/players/179/813/22_120.png
David Silva,35,Spain,85,85,Real Sociedad,22000000.0,44000.0,CAM,https://cdn.sofifa.net/players/168/542/22_120.png
L. Bonucci,34,Italy,85,85,Juventus,17500000.0,110000.0,CB,https://cdn.sofifa.net/players/184/344/22_120.png
Thiago Silva,36,Brazil,85,85,Chelsea,9500000.0,105000.0,CB,https://cdn.sofifa.net/players/164/240/22_120.png
K. Schmeichel,34,Denmark,85,85,Leicester City,9000000.0,115000.0,GK,https://cdn.sofifa.net/players/163/587/22_120.png
K. Havertz,22,Germany,84,92,Chelsea,94500000.0,130000.0,CAM,https://cdn.sofifa.net/players/235/790/22_120.png
P. Foden,21,England,84,92,Manchester City,94500000.0,125000.0,CAM,https://cdn.sofifa.net/players/237/692/22_120.png
T. Hernández,23,France,84,90,AC Milan,62500000.0,51000.0,LB,https://cdn.sofifa.net/players/232/656/22_120.png
N. Barella,24,Italy,84,89,Inter,63500000.0,120000.0,CM,https://cdn.sofifa.net/players/224/232/22_120.png
M. Maignan,25,France,84,89,AC Milan,49500000.0,45000.0,GK,https://cdn.sofifa.net/players/215/698/22_120.png
J. Giménez,26,Uruguay,84,88,Atlético de Madrid,52000000.0,74000.0,CB,https://cdn.sofifa.net/players/216/460/22_120.png
Y. Tielemans,24,Belgium,84,87,Leicester City,57000000.0,125000.0,CM,https://cdn.sofifa.net/players/216/393/22_120.png
T. Werner,25,Germany,84,87,Chelsea,56500000.0,155000.0,ST,https://cdn.sofifa.net/players/212/188/22_120.png
L. Sané,25,Germany,84,87,FC Bayern München,56000000.0,105000.0,RM,https://cdn.sofifa.net/players/222/492/22_120.png
F. Kessié,24,Côte d'Ivoire,84,86,AC Milan,49500000.0,51000.0,CDM,https://cdn.sofifa.net/players/230/938/22_120.png
L. Shaw,25,England,84,86,Manchester United,48500000.0,140000.0,LB,https://cdn.sofifa.net/players/205/988/22_120.png
H. Maguire,28,England,84,86,Manchester United,42500000.0,155000.0,CB,https://cdn.sofifa.net/players/203/263/22_120.png
André Silva,25,Portugal,84,85,RB Leipzig,51000000.0,110000.0,ST,https://cdn.sofifa.net/players/228/941/22_120.png
J. Grealish,25,England,84,85,Manchester City,50500000.0,180000.0,LW,https://cdn.sofifa.net/players/206/517/22_120.png
M. Sabitzer,27,Austria,84,85,FC Bayern München,48000000.0,110000.0,CM,https://cdn.sofifa.net/players/204/923/22_120.png
M. Ginter,27,Germany,84,85,Borussia Mönchengladbach,42500000.0,45000.0,CB,https://cdn.sofifa.net/players/207/862/22_120.png
E. Martínez,28,Argentina,84,85,Aston Villa,33500000.0,81000.0,GK,https://cdn.sofifa.net/players/202/811/22_120.png
Y. Carrasco,27,Belgium,84,84,Atlético de Madrid,45000000.0,81000.0,LM,https://cdn.sofifa.net/players/208/418/22_120.png
N. Fekir,27,France,84,84,Real Betis Balompié,45000000.0,42000.0,CAM,https://cdn.sofifa.net/players/216/594/22_120.png
Luis Alberto,28,Spain,84,84,Lazio,42500000.0,95000.0,CAM,https://cdn.sofifa.net/players/198/706/22_120.png
F. Kostić,28,Serbia,84,84,Eintracht Frankfurt,42500000.0,52000.0,LM,https://cdn.sofifa.net/players/208/574/22_120.png
H. Ziyech,28,Morocco,84,84,Chelsea,42500000.0,170000.0,RW,https://cdn.sofifa.net/players/208/670/22_120.png
W. Ben Yedder,30,France,84,84,AS Monaco,41500000.0,88000.0,ST,https://cdn.sofifa.net/players/199/451/22_120.png
G. Wijnaldum,30,Netherlands,84,84,Paris Saint-Germain,40500000.0,115000.0,CM,https://cdn.sofifa.net/players/181/291/22_120.png
L. Digne,27,France,84,84,Everton,40500000.0,110000.0,LB,https://cdn.sofifa.net/players/200/458/22_120.png
R. Guerreiro,27,Portugal,84,84,Borussia Dortmund,40500000.0,79000.0,LB,https://cdn.sofifa.net/players/209/889/22_120.png
Ricardo Pereira,27,Portugal,84,84,Leicester City,40500000.0,130000.0,RB,https://cdn.sofifa.net/players/210/243/22_120.png
M. Brozović,28,Croatia,84,84,Inter,37000000.0,130000.0,CDM,https://cdn.sofifa.net/players/216/352/22_120.png
M. Acuña,29,Argentina,84,84,Sevilla FC,37000000.0,45000.0,LB,https://cdn.sofifa.net/players/224/334/22_120.png
K. Trippier,30,England,84,84,Atlético de Madrid,36500000.0,74000.0,RB,https://cdn.sofifa.net/players/186/345/22_120.png
D. Alaba,29,Austria,84,84,Real Madrid CF,35500000.0,195000.0,CB,https://cdn.sofifa.net/players/197/445/22_120.png
S. Savić,30,Montenegro,84,84,Atlético de Madrid,34500000.0,74000.0,CB,https://cdn.sofifa.net/players/204/639/22_120.png
D. Tadić,32,Serbia,84,84,Ajax,33500000.0,32000.0,LW,https://cdn.sofifa.net/players/199/434/22_120.png
J. Henderson,31,England,84,84,Liverpool,29500000.0,140000.0,CDM,https://cdn.sofifa.net/players/183/711/22_120.png
De Gea,30,Spain,84,84,Manchester United,28000000.0,120000.0,GK,https://cdn.sofifa.net/players/193/080/22_120.png
Felipe,32,Brazil,84,84,Atlético de Madrid,27500000.0,74000.0,CB,https://cdn.sofifa.net/players/207/863/22_120.png
Iago Aspas,33,Spain,84,84,RC Celta de Vigo,27000000.0,46000.0,ST,https://cdn.sofifa.net/players/192/629/22_120.png
J. Iličić,33,Slovenia,84,84,Atalanta,27000000.0,84000.0,CF,https://cdn.sofifa.net/players/200/647/22_120.png
Fernando,33,Brazil,84,84,Sevilla FC,21000000.0,43000.0,CDM,https://cdn.sofifa.net/players/184/134/22_120.png
D. Mertens,34,Belgium,84,84,Napoli,20500000.0,105000.0,CF,https://cdn.sofifa.net/players/175/943/22_120.png
Z. Ibrahimović,39,Sweden,84,84,AC Milan,14500000.0,51000.0,ST,https://cdn.sofifa.net/players/041/236/22_120.png
Piqué,34,Spain,84,84,FC Barcelona,13500000.0,175000.0,CB,https://cdn.sofifa.net/players/152/729/22_120.png
Jesús Navas,35,Spain,84,84,Sevilla FC,13000000.0,30000.0,RB,https://cdn.sofifa.net/players/146/536/22_120.png
João Félix,21,Portugal,83,91,Atlético de Madrid,82000000.0,61000.0,CF,https://cdn.sofifa.net/players/242/444/22_120.png
F. Chiesa,23,Italy,83,91,Juventus,80500000.0,74000.0,RW,https://cdn.sofifa.net/players/235/805/22_120.png
M. Mount,22,England,83,89,Chelsea,58500000.0,120000.0,CAM,https://cdn.sofifa.net/players/233/064/22_120.png
F. Valverde,22,Uruguay,83,89,Real Madrid CF,58000000.0,160000.0,CM,https://cdn.sofifa.net/players/239/053/22_120.png
J. Koundé,22,France,83,89,Sevilla FC,53000000.0,33000.0,CB,https://cdn.sofifa.net/players/241/486/22_120.png
O. Dembélé,24,France,83,88,FC Barcelona,55000000.0,165000.0,RW,https://cdn.sofifa.net/players/231/443/22_120.png
Gabriel Jesus,24,Brazil,83,87,Manchester City,52500000.0,150000.0,ST,https://cdn.sofifa.net/players/230/666/22_120.png
Merino,25,Spain,83,87,Real Sociedad,50000000.0,47000.0,CM,https://cdn.sofifa.net/players/225/193/22_120.png
A. Wan-Bissaka,23,England,83,87,Manchester United,48500000.0,115000.0,RB,https://cdn.sofifa.net/players/229/880/22_120.png
P. Kimpembe,25,France,83,87,Paris Saint-Germain,45500000.0,90000.0,CB,https://cdn.sofifa.net/players/225/850/22_120.png
T. Lemar,25,France,83,86,Atlético de Madrid,48000000.0,71000.0,LM,https://cdn.sofifa.net/players/213/565/22_120.png
Á. Correa,26,Argentina,83,86,Atlético de Madrid,48000000.0,80000.0,ST,https://cdn.sofifa.net/players/214/997/22_120.png
Marco Asensio,25,Spain,83,86,Real Madrid CF,48000000.0,190000.0,RW,https://cdn.sofifa.net/players/220/834/22_120.png
Angeliño,24,Spain,83,86,RB Leipzig,46000000.0,77000.0,LWB,https://cdn.sofifa.net/players/220/651/22_120.png
L. Hernández,25,France,83,86,FC Bayern München,44500000.0,85000.0,LB,https://cdn.sofifa.net/players/220/814/22_120.png
Gayà,26,Spain,83,86,Valencia CF,43500000.0,48000.0,LB,https://cdn.sofifa.net/players/211/688/22_120.png
P. Højbjerg,25,Denmark,83,86,Tottenham Hotspur,43500000.0,105000.0,CDM,https://cdn.sofifa.net/players/213/648/22_120.png
F. Mendy,26,France,83,86,Real Madrid CF,43500000.0,170000.0,LB,https://cdn.sofifa.net/players/228/618/22_120.png
J. Stones,27,England,83,86,Manchester City,41000000.0,140000.0,CB,https://cdn.sofifa.net/players/203/574/22_120.png
Arthur,24,Brazil,83,85,Juventus,47000000.0,90000.0,CM,https://cdn.sofifa.net/players/230/658/22_120.png
J. Pickford,27,England,83,85,Everton,33000000.0,83000.0,GK,https://cdn.sofifa.net/players/204/935/22_120.png
É. Mendy,29,Senegal,83,85,Chelsea,30000000.0,105000.0,GK,https://cdn.sofifa.net/players/234/642/22_120.png
M. Kovačić,27,Croatia,83,84,Chelsea,41500000.0,135000.0,CM,https://cdn.sofifa.net/players/207/410/22_120.png
A. Rüdiger,28,Germany,83,84,Chelsea,34500000.0,130000.0,CB,https://cdn.sofifa.net/players/205/452/22_120.png
B. Leno,29,Germany,83,84,Arsenal,28000000.0,87000.0,GK,https://cdn.sofifa.net/players/192/563/22_120.png
L. Ocampos,26,Argentina,83,83,Sevilla FC,39500000.0,46000.0,LW,https://cdn.sofifa.net/players/205/632/22_120.png
K. Volland,28,Germany,83,83,AS Monaco,37000000.0,83000.0,ST,https://cdn.sofifa.net/players/200/610/22_120.png
Morata,28,Spain,83,83,Juventus,37000000.0,84000.0,ST,https://cdn.sofifa.net/players/201/153/22_120.png
M. Icardi,28,Argentina,83,83,Paris Saint-Germain,37000000.0,120000.0,ST,https://cdn.sofifa.net/players/201/399/22_120.png
W. Weghorst,28,Netherlands,83,83,VfL Wolfsburg,37000000.0,95000.0,ST,https://cdn.sofifa.net/players/223/689/22_120.png
Muniain,28,Spain,83,83,Athletic Club de Bilbao,36500000.0,44000.0,CAM,https://cdn.sofifa.net/players/189/575/22_120.png
T. Partey,28,Ghana,83,83,Arsenal,36500000.0,115000.0,CM,https://cdn.sofifa.net/players/209/989/22_120.png
R. Gosens,26,Germany,83,83,Atalanta,36000000.0,65000.0,LWB,https://cdn.sofifa.net/players/223/697/22_120.png
R. Jiménez,30,Mexico,83,83,Wolverhampton Wanderers,35500000.0,120000.0,ST,https://cdn.sofifa.net/players/204/838/22_120.png
D. Zapata,30,Colombia,83,83,Atalanta,35500000.0,77000.0,ST,https://cdn.sofifa.net/players/215/333/22_120.png
A. Kramarić,30,Croatia,83,83,TSG Hoffenheim,35500000.0,59000.0,ST,https://cdn.sofifa.net/players/216/354/22_120.png
Ronaldo Cabrais,29,Brazil,83,83,Grêmio,35500000.0,49000.0,CAM,https://cdn.sofifa.net/players/230/481/22_120.png
Canales,30,Spain,83,83,Real Betis Balompié,34500000.0,38000.0,CM,https://cdn.sofifa.net/players/190/286/22_120.png
L. Spinazzola,28,Italy,83,83,Roma,33000000.0,72000.0,LWB,https://cdn.sofifa.net/players/202/884/22_120.png
Alex Sandro,30,Brazil,83,83,Juventus,31500000.0,95000.0,LB,https://cdn.sofifa.net/players/191/043/22_120.png
J. Matip,29,Cameroon,83,83,Liverpool,30500000.0,130000.0,CB,https://cdn.sofifa.net/players/197/061/22_120.png
Allan,30,Brazil,83,83,Everton,30500000.0,100000.0,CDM,https://cdn.sofifa.net/players/199/914/22_120.png
K. Manolas,30,Greece,83,83,Napoli,30000000.0,80000.0,CB,https://cdn.sofifa.net/players/192/774/22_120.png
S. Coates,30,Uruguay,83,83,Sporting CP,30000000.0,21000.0,CB,https://cdn.sofifa.net/players/197/655/22_120.png
H. Mkhitaryan,32,Armenia,83,83,Roma,29500000.0,82000.0,CF,https://cdn.sofifa.net/players/192/883/22_120.png
C. Vela,32,Mexico,83,83,Los Angeles FC,29000000.0,17000.0,RW,https://cdn.sofifa.net/players/169/416/22_120.png
Paulinho,32,Brazil,83,83,Al Ahli,28500000.0,61000.0,CM,https://cdn.sofifa.net/players/187/961/22_120.png
Azpilicueta,31,Spain,83,83,Chelsea,25000000.0,125000.0,CB,https://cdn.sofifa.net/players/184/432/22_120.png
N. Pope,29,England,83,83,Burnley,25000000.0,45000.0,GK,https://cdn.sofifa.net/players/203/841/22_120.png
A. Witsel,32,Belgium,83,83,Borussia Dortmund,24000000.0,72000.0,CDM,https://cdn.sofifa.net/players/177/413/22_120.png
S. Kjær,32,Denmark,83,83,AC Milan,23500000.0,54000.0,CB,https://cdn.sofifa.net/players/179/645/22_120.png
J. Boateng,32,Germany,83,83,Olympique Lyonnais,23500000.0,81000.0,CB,https://cdn.sofifa.net/players/183/907/22_120.png
L. Hrádecký,31,Finland,83,83,Bayer 04 Leverkusen,19000000.0,55000.0,GK,https://cdn.sofifa.net/players/190/941/22_120.png
J. Cuadrado,33,Colombia,83,83,Juventus,19000000.0,95000.0,RB,https://cdn.sofifa.net/players/193/082/22_120.png
Sergio Asenjo,32,Spain,83,83,Villarreal CF,18000000.0,37000.0,GK,https://cdn.sofifa.net/players/178/750/22_120.png
F. Acerbi,33,Italy,83,83,Lazio,17500000.0,75000.0,CB,https://cdn.sofifa.net/players/199/845/22_120.png
E. Džeko,35,Bosnia and Herzegovina,83,83,Inter,15500000.0,105000.0,ST,https://cdn.sofifa.net/players/180/930/22_120.png
Fernandinho,36,Brazil,83,83,Manchester City,7000000.0,100000.0,CDM,https://cdn.sofifa.net/players/135/507/22_120.png
Ferran Torres,21,Spain,82,90,Manchester City,68500000.0,120000.0,RW,https://cdn.sofifa.net/players/241/461/22_120.png
D. Upamecano,22,France,82,90,FC Bayern München,64000000.0,70000.0,CB,https://cdn.sofifa.net/players/229/558/22_120.png
A. Davies,20,Canada,82,89,FC Bayern München,57000000.0,59000.0,LB,https://cdn.sofifa.net/players/234/396/22_120.png
Éder Militão,23,Brazil,82,89,Real Madrid CF,56500000.0,130000.0,CB,https://cdn.sofifa.net/players/240/130/22_120.png
Pau Torres,24,Spain,82,89,Villarreal CF,56500000.0,35000.0,CB,https://cdn.sofifa.net/players/241/464/22_120.png
M. Ødegaard,22,Norway,82,88,Arsenal,49000000.0,89000.0,CAM,https://cdn.sofifa.net/players/222/665/22_120.png
C. Pulisic,22,United States,82,88,Chelsea,49000000.0,120000.0,LW,https://cdn.sofifa.net/players/227/796/22_120.png
J. Gomez,24,England,82,88,Liverpool,43500000.0,100000.0,CB,https://cdn.sofifa.net/players/225/100/22_120.png
Richarlison,24,Brazil,82,87,Everton,46500000.0,100000.0,ST,https://cdn.sofifa.net/players/231/943/22_120.png
Rúben Neves,24,Portugal,82,87,Wolverhampton Wanderers,46000000.0,89000.0,CM,https://cdn.sofifa.net/players/224/293/22_120.png
Diogo Jota,24,Portugal,82,87,Liverpool,46000000.0,120000.0,LW,https://cdn.sofifa.net/players/224/458/22_120.png
Raphinha,24,Brazil,82,87,Leeds United,46000000.0,89000.0,RM,https://cdn.sofifa.net/players/233/419/22_120.png
F. Neuhaus,24,Germany,82,87,Borussia Mönchengladbach,46000000.0,36000.0,CM,https://cdn.sofifa.net/players/234/943/22_120.png
T. Ndombele,24,France,82,87,Tottenham Hotspur,46000000.0,95000.0,CAM,https://cdn.sofifa.net/players/235/569/22_120.png
Dani Olmo,23,Spain,82,87,RB Leipzig,46000000.0,78000.0,CAM,https://cdn.sofifa.net/players/244/260/22_120.png
D. Rice,22,England,82,87,West Ham United,43000000.0,69000.0,CDM,https://cdn.sofifa.net/players/234/378/22_120.png
M. Locatelli,23,Italy,82,87,Juventus,42000000.0,74000.0,CDM,https://cdn.sofifa.net/players/222/077/22_120.png
C. Romero,23,Argentina,82,87,Tottenham Hotspur,41500000.0,51000.0,CB,https://cdn.sofifa.net/players/232/488/22_120.png
